,reactions
998,[CH:2]1([C:7](=[O:8])[CH2:6][CH2:5][CH2:4][CH2:3]1)[Cl:1].[OH-:9]>>[CH2:4]1[CH2:5][CH2:6][CH:2]([CH2:3]1)[C:7](=[O:8])[OH:9]
999,[CH2:6]1[CH2:5][CH2:4][CH2:9][CH2:8][NH:7]1.[CH3:1][CH2:2][Br:3]>>[CH2:5]1[CH2:6][N:7]([CH2:8][CH2:9][CH2:4]1)[CH2:2][CH3:1]
1000,[I:3][CH3:2].[NH3:1]>>[I-:3].[NH3+:1][CH3:2]
1001,[CH3:4][C:3]([O:2][CH3:1])=[O:5].[O-:8][CH2:7][CH3:6]>>[CH3:4][C:3](=[O:5])[O:8][CH2:7][CH3:6]
1002,[CH:2](=[CH:3][CH3:4])[CH3:1].[CH:10]1=[C:9]([C:7]([O:6][OH:5])=[O:8])[CH:14]=[CH:13][CH:12]=[CH:11]1>>[CH:2]1([CH:3]([CH3:4])[O:5]1)[CH3:1]
1003,[Br:1][Br:2].[CH:4](=[CH:5][CH2:6][CH2:7][CH2:8][OH:9])[CH3:3]>>[CH2:7]1[CH2:6][CH:5]([O:9][CH2:8]1)[CH:4]([Br:2])[CH3:3]
1004,[CH:6]=1[CH:7]=[CH:8][CH:9]=[CH:10][C:5]=1[CH3:4].[O-:3][NH+:2]=[O:1]>>[N+:2]([O-:3])(=[O:1])[C:8]1=[CH:7][CH:6]=[C:5]([CH3:4])[CH:10]=[CH:9]1
1005,[C:7]=1([CH:6]=[CH:5][CH:4]=[C:3]([O:2][CH3:1])[CH:8]=1)[N+:9]#[N:10].[I-:11]>>[O:2]([C:3]1=[CH:4][CH:5]=[CH:6][C:7](=[CH:8]1)[I:11])[CH3:1]
1006,[CH2:3]1[CH2:2][CH2:1][CH2:5][NH:4]1.[CH3:8][C:7]([CH3:6])=[O:9]>>[CH2:3]1[CH2:2][CH2:1][CH2:5][N:4]1[CH:7]([CH3:8])[CH3:6]
1007,[CH2:2]([CH3:1])[CH2:3][C:4](=[O:5])[O:6][CH2:7][CH3:8].[CH2:10]([CH2:11][CH2:12][NH2:13])[CH3:9]>>[CH2:2]([CH3:1])[CH2:3][C:4](=[O:5])[NH:13][CH2:12][CH2:11][CH2:10][CH3:9]
1008,[CH2:4]([C:5](=[O:6])[O:7][CH2:8][CH3:9])[CH2:3][CH2:2][CH3:1]>>[CH2:3]([CH2:4][CH2:5][OH:6])[CH2:2][CH3:1]
1009,[CH:3]=1[C:4](=[O:5])[CH2:6][CH2:7][CH2:8][C:2]=1[Cl:1].[C-:9]#[N:10]>>[C:4]1(=[O:5])[CH:3]=[C:2]([CH2:8][CH2:7][CH2:6]1)[C:9]#[N:10]
1010,[C:10]=1([N+:12](=[O:14])[O-:13])[C:8]([F:9])=[CH:7][CH:6]=[C:5]([N+:3]([O-:2])=[O:4])[CH:11]=1.[NH3:1]>>[C:10]1(=[CH:11][C:5]([N+:3]([O-:2])=[O:4])=[CH:6][CH:7]=[C:8]1[NH2:1])[N+:12](=[O:14])[O-:13]
1011,[CH:3]=1[N:4]=[CH:5][NH:1][CH:2]=1.[OH:8][P:7]([OH:9])(=[O:10])[NH2:6]>>[OH:8][P:7]([OH:9])(=[O:10])[N:1]1[CH:2]=[CH:3][N:4]=[CH:5]1
1012,[CH2:7]=[CH:6][C:4](=[CH2:5])[O:3][CH2:2][CH3:1].[CH2:13]=[CH:12][C:10]([O:9][CH3:8])=[O:11]>>[CH:6]=1[CH2:7][CH:12]([C:10]([O:9][CH3:8])=[O:11])[CH2:13][CH2:5][C:4]=1[O:3][CH2:2][CH3:1]
1013,[CH2:4]([CH2:3][CH2:2][CH3:1])[CH:5]([CH2:6][CH3:7])[O:8][S:9][C:10]1=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]1>>[CH:2]([S:9][C:10]1=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]1)([CH3:1])[CH2:3][CH2:4][CH:5]([CH2:6][CH3:7])[OH:8]
1014,[CH3:13][O:12][C:11]([O:14][CH3:15])=[O:10].[N:3]#[C:2][CH2:1][C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]1>>[C:2]([CH:1]([C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1)[CH3:13])#[N:3]
1015,[CH:12]1=[CH:11][C:9]([CH3:10])=[CH:8][CH:7]=[C:6]1[Cl:5].[CH2:1]=[CH:2][O:3][Li:4]>>[C:9]1([CH3:10])=[CH:11][CH:12]=[C:6]2[C:7](=[CH:8]1)[CH:2]([CH2:1]2)[O:3][Li:4]
1016,[C:4]=1([N:7]=[N:8][C:9]=2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)[CH:5]=[CH:6][CH:1]=[CH:2][CH:3]=1>>[CH:2]1=[CH:3][C:4](=[CH:5][CH:6]=[C:1]1[C:12]=2[CH:13]=[CH:14][C:9](=[CH:10][CH:11]=2)[NH2:8])[NH2:7]
1017,[O:11]=[S:10](=[O:12])([C:6]1=[C:4]([CH3:5])[CH:3]=[C:2]([CH3:1])[CH:9]=[C:7]1[CH3:8])[C:13]=2[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=2>>[O:12]=[S:10]([OH:11])[C:6]1=[C:4]([CH3:5])[CH:3]=[C:2]([CH3:1])[CH:9]=[C:7]1[CH2:8][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2
1018,[C:9]1([S:17][C:16]=2[C:11](=[CH:12][CH:13]=[CH:14][CH:15]=2)[NH:10]1)=[S:8].[CH2:3]1[CH2:4][CH2:5][CH2:6][CH2:7][CH:2]1[NH2:1]>>[CH2:4]1[CH2:3][CH:2]([CH2:7][CH2:6][CH2:5]1)[NH:1][S:8][C:9]2=[N:10][C:11]=3[C:16]([S:17]2)=[CH:15][CH:14]=[CH:13][CH:12]=3
1019,[C:5]1(=[C:7]([F:8])[CH:9]=[C:10]([N+:11](=[O:12])[O-:13])[C:2]([NH2:1])=[C:3]1[Br:4])[Cl:6].[ClH:14]>>[CH:9]1=[C:7]([F:8])[C:5](=[C:3]([Br:4])[C:2](=[C:10]1[N+:11](=[O:12])[O-:13])[Cl:14])[Cl:6]
1020,[CH:10]1=[CH:9][C:8]([CH:14]=[CH:13][C:11]1=[O:12])([C:15]#[C:16][C:17]2=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]2)[OH:7].[CH2:1]=[C:2]1[CH2:3][C:4]([O:6]1)=[O:5]>>[C:10]=1([CH2:3][C:2]([CH3:1])=[O:6])[CH:9]=[C:8]([CH:14]=[CH:13][C:11]=1[OH:12])[C:15]#[C:16][C:17]2=[CH:22][CH:21]=[CH:20][CH:19]=[CH:18]2
1021,[CH:9]=1[CH:8]=[CH:7][CH:6]=[C:5]([C:10]=1[C:11]=2[N:16]=[CH:15][CH:14]=[CH:13][N:12]=2)[O:4][CH2:3][C:2]#[CH:1]>>[CH:14]=1[CH:13]=[N:12][C:11]2=[C:2]([CH2:3][O:4][C:5]3=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]23)[CH:1]=1
1022,[NH:4]([N:3]=[C:2]([CH3:1])[C:12]=1[C:18]([OH:19])=[CH:17][C:15](=[CH:14][CH:13]=1)[Br:16])[C:5]2=[CH:6][CH:7]=[C:8]([Br:9])[CH:10]=[CH:11]2>>[C:12]=1([C:2]=2[NH:4][C:5]=3[C:11]([CH:1]=2)=[CH:10][C:8](=[CH:7][CH:6]=3)[Br:9])[CH:13]=[CH:14][C:15](=[CH:17][C:18]=1[OH:19])[Br:16]
1023,[C:3](=[O:1])([CH3:2])[O:27][C:25](=[O:26])[CH3:24].[CH:22]1=[CH:23][C:18]([CH2:17][N:16]2[C:15]=3[CH:14]=[CH:13][CH:4]=[CH:5][C:12]=3[C:10]([NH:9][CH2:8][C:7]2=[O:6])=[O:11])=[CH:19][CH:20]=[CH:21]1>>[CH:22]1=[CH:23][C:18]([CH2:17][N:16]2[C:7]([C:8]=3[N:9]=[C:3]([CH3:2])[O:11][C:10]=3[C:12]4=[C:15]2[CH:14]=[CH:13][CH:4]=[CH:5]4)=[O:6])=[CH:19][CH:20]=[CH:21]1
1024,[Br:6][C:5]1([Br:7])[C:2]([CH3:1])([Br:3])[CH2:4]1.[CH3:23][C:22]([CH3:24])([CH3:25])[Si:19]([CH3:20])([CH3:21])[O:18][CH:17]1[C:26]([CH2:28][CH:29]=[O:30])([CH:14]([CH2:15][CH2:16]1)[C:12]=2[O:13][C:9](=[CH:10][CH:11]=2)[CH3:8])[CH3:27]>>[CH3:23][C:22]([CH3:24])([CH3:25])[Si:19]([CH3:20])([CH3:21])[O:18][CH:17]1[C:26]2([CH3:27])[CH:14]([C:12]34[CH:11]=[CH:10][C:9]([C:2]5([CH3:1])[CH2:4][C:5]35[CH:29]([OH:30])[CH2:28]2)([O:13]4)[CH3:8])[CH2:15][CH2:16]1
1025,[CH:22]1=[C:21]([CH:26]=[CH:25][CH:24]=[CH:23]1)[C:16]=2[C:17]([CH2:19][CH2:20][C:15]=2[C:11]3=[C:12]([O:14][C:9](=[N:10]3)[C:6]4=[CH:5][CH:4]=[C:3]([CH:8]=[CH:7]4)[O:2][CH3:1])[CH3:13])=[O:18]>>[C:6]=1([CH:5]=[CH:4][C:3](=[CH:8][CH:7]=1)[O:2][CH3:1])[C:9]([NH:10][C:11]2=[C:15]3[C:16](=[C:21]4[C:26]([CH:25]=[CH:24][CH:23]=[CH:22]4)=[C:12]2[CH3:13])[C:17](=[O:18])[CH2:19][CH2:20]3)=[O:14]
1026,[CH:10]=1[CH:9]=[CH:8][CH:7]=[C:6]2[N:2]([CH3:1])[C:3]=3[S:14][CH2:13][CH2:12][C:11](=[CH:15][O:16][C:17]=4[C:18]([Br:19])=[CH:20][CH:21]=[CH:22][CH:23]=4)[C:4]=3[C:5]=12>>[CH:20]1=[CH:21][CH:22]=[CH:23][C:17]2=[C:18]1[CH2:15][C:11]3([O:16]2)[CH2:12][CH2:13][S:14][C:3]=4[N:2]([CH3:1])[C:6]=5[C:5](=[CH:10][CH:9]=[CH:8][CH:7]=5)[C:4]3=4
1027,[CH:4]([C:5]([CH3:6])=[O:7])=[C:2]([CH3:1])[OH:3].[CH:23]1=[C:22]([C:20]([CH3:21])=[N:19][O:18][C:16]([CH3:15])=[O:17])[CH:27]=[CH:26][CH:25]=[CH:24]1.[O:9]=[CH:8][C:10]1=[CH:11][CH:12]=[CH:13][O:14]1>>[C:20]=1([CH:21]=[C:8]([C:10]2=[CH:11][CH:12]=[CH:13][O:14]2)[C:4]([C:5](=[O:7])[CH3:6])=[C:2]([CH3:1])[N:19]=1)[C:22]3=[CH:27][CH:26]=[CH:25][CH:24]=[CH:23]3
1028,[CH:13]#[C:12][C:7]=1[C:6](=[CH:11][CH:10]=[CH:9][CH:8]=1)[CH3:5].[C:15]1([CH3:14])=[CH:22][CH:21]=[C:19]([NH2:20])[C:17]([CH3:18])=[CH:16]1.[CH3:1][S:2]([CH3:3])=[O:4]>>[CH3:18][C:17]=1[C:19]=2[N:20]=[CH:3][CH:13]=[C:12]([C:7]3=[C:6]([CH:11]=[CH:10][CH:9]=[CH:8]3)[CH3:5])[C:21]=2[CH:22]=[C:15]([CH3:14])[CH:16]=1
1029,[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]1[CH2:19][CH:10]([CH2:11][CH2:12][CH:13]=[CH:14][CH2:15][N:16]=[N+:17]=[N-:18])[C:8]([CH2:7][CH2:6]1)=[O:9]>>[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]1[CH2:19][CH:10]2[CH2:11][CH2:12][CH:13]([CH:14]=[CH2:15])[N:16]2[C:8]([CH2:7][CH2:6]1)=[O:9]
1030,[CH:4]1([C:3]([N:2]([CH3:1])[C:8]2=[C:7]([CH:12]=[CH:11][CH:10]=[CH:9]2)[C:6]([C:13]=3[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=3)=[N:5]1)=[S:30])[NH:19][C:20]([O:21][CH2:23][C:24]=4[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=4)=[O:22].[CH2:32]1[CH2:33][CH2:34][CH2:35][CH2:36][CH:31]1[CH2:37][CH2:38][C:39]([OH:40])=[O:41]>>[CH2:33]1[CH2:32][CH:31]([CH2:36][CH2:35][CH2:34]1)[CH2:37][CH2:38][C:39](=[O:41])[NH:19][CH:4]2[N:5]=[C:6]([C:13]3=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]3)[C:7]=4[CH:12]=[CH:11][CH:10]=[CH:9][C:8]=4[N:2]([CH3:1])[C:3]2=[S:30]
1031,[CH:13]12[CH:4]([CH:5]([OH:18])[CH2:6][C:7](=[C:8]3[CH2:9][CH2:10][CH2:11][CH:12]13)[CH3:17])[C:3](=[CH:2][CH3:1])[C:15]([O:14]2)=[O:16]>>[CH3:17][C:7]1=[C:8]2[CH2:9][CH2:10][CH2:11][CH:12]3[O:16][C:15](=[O:14])[C:3](=[CH:2][CH3:1])[CH:4]([CH:13]23)[CH:5]([OH:18])[CH2:6]1
1032,[CH3:8][C:7]([CH3:9])([C:10]1=[CH:11][C:12]([O:13][CH2:14][C:15]=2[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=2)=[C:21]3[CH:29]([CH2:28][C:25]([CH3:26])([CH3:27])[O:24][C:22]3=[CH:23]1)[C:30]([OH:32])=[O:31])[CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1].[F:46][C:45]([F:48])([F:47])[C:34]([O:35][C:36]=1[CH:44]=[CH:43][C:39](=[CH:38][CH:37]=1)[N+:40]([O-:42])=[O:41])=[O:33].[OH2:49]>>[CH3:8][C:7]([CH3:9])([C:10]1=[CH:11][C:12]([O:13][CH2:14][C:15]=2[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=2)=[C:21]3[CH:29]([CH2:28][C:25]([CH3:26])([CH3:27])[O:24][C:22]3=[CH:23]1)[C:30]([O:35][C:36]4=[CH:44][CH:43]=[C:39]([CH:38]=[CH:37]4)[N+:40]([O-:42])=[O:41])=[O:31])[CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1]
1033,[CH:15]=1[CH:16]=[CH:17][CH:18]=[CH:19][C:14]=1[C:12]([C:10]2([OH:11])[CH2:9][CH2:8][CH2:7][CH:6]2[NH:5][CH3:4])=[CH2:13].[O:3]=[CH:2][CH3:1]>>[CH2:9]1[CH2:8][CH2:7][CH:6]2[C:12]([C:14]3=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]3)([CH2:13][CH:2]([CH3:1])[N:5]2[CH3:4])[C:10]1=[O:11]
1034,[C:28]([C:27]=1[CH:26]=[CH:25][CH:24]=[C:23]([CH:32]=1)[Cl:22])(=[O:30])[O:29][OH:31].[NH:14]([CH2:15][CH3:16])[C:13]([N:11]1[N:10]=[CH:9][C:8]2=[CH:7][CH:6]=[C:5]([O:18][C:19]([CH3:20])=[O:21])[C:4](=[C:12]12)[CH2:1][CH:2]=[CH2:3])=[O:17]>>[NH:14]([CH2:15][CH3:16])[C:13]([N:11]1[N:10]=[CH:9][C:8]2=[CH:7][CH:6]=[C:5]([O:18][C:19]([CH3:20])=[O:21])[C:4]([CH2:1][CH:2]3[CH2:3][O:31]3)=[C:12]12)=[O:17]
1035,[CH3:12][C:11]1([CH3:13])[CH2:10][CH:9]([CH2:19][C:16]([CH3:17])([CH3:18])[N:14]1[CH3:15])[NH:8][CH:7]([CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[P:20]([O:25][CH2:26][CH3:27])([O:22][CH2:23][CH3:24])=[O:21].[OH2:28]>>[CH3:12][C:11]1([CH3:13])[CH2:10][CH:9]([CH2:19][C:16]([CH3:17])([CH3:18])[N:14]1[CH3:15])[NH:8][CH:7]([P:20](=[O:21])([O:25][CH2:26][CH3:27])[OH:28])[CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1]
1036,[CH3:9][O:8][N:7]=[C:6]([C:10](=[O:11])[CH2:12][Br:13])[C:4]([O:3][CH2:2][CH3:1])=[O:5].[NH2:16][C:15]([NH2:17])=[O:14]>>[O:8]([N:7]=[C:6]([C:10]=1[N:17]=[C:15]([NH2:16])[O:14][CH:12]=1)[C:4](=[O:5])[O:3][CH2:2][CH3:1])[CH3:9]
1037,[CH:9]1=[CH:8][C:7]=2[N:6]=[C:5]([N:2]([CH3:1])[N:3]=[O:4])[CH2:20][N:19]=[C:12]([C:13]3=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]3)[C:11]=2[S:10]1.[O:24]=[N+:22]([CH3:21])[O-:23]>>[CH:9]1=[CH:8][C:7]=2[N:6]=[C:5]([CH2:21][N+:22]([O-:23])=[O:24])[CH2:20][N:19]=[C:12]([C:13]3=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]3)[C:11]=2[S:10]1
1038,[CH3:19][CH:18]([CH3:20])[C:15]=1[CH:16]=[N:17][C:12](=[CH:13][CH:14]=1)[S:9](=[O:10])(=[O:11])[NH:8][C:7]=2[CH:6]=[C:5]([CH:42]=[C:31]([O:32][CH2:33][CH2:34][O:35][CH:36]3[O:41][CH2:40][CH2:39][CH2:38][CH2:37]3)[C:21]=2[O:22][C:23]=4[C:28]([O:29][CH3:30])=[CH:27][CH:26]=[CH:25][CH:24]=4)[C:3]([O:2][CH3:1])=[O:4]>>[CH3:19][CH:18]([CH3:20])[C:15]=1[CH:16]=[N:17][C:12](=[CH:13][CH:14]=1)[S:9](=[O:10])(=[O:11])[NH:8][C:7]=2[CH:6]=[C:5]([C:3](=[O:4])[O:2][CH3:1])[CH:42]=[C:31]([O:32][CH2:33][CH2:34][OH:35])[C:21]=2[O:22][C:23]3=[CH:24][CH:25]=[CH:26][CH:27]=[C:28]3[O:29][CH3:30]
1039,[C:15]1(=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]1)[C:14]2=[C:5]([O:6][C:7]([CH2:8][S:9][CH2:10][CH2:11][NH2:12])=[CH:13]2)[C:3]([NH:2][CH3:1])=[O:4]>>[NH:2]([CH3:1])[CH2:3][C:5]1=[C:14]([C:15]2=[CH:20][CH:19]=[CH:18][CH:17]=[CH:16]2)[CH:13]=[C:7]([CH2:8][S:9][CH2:10][CH2:11][NH2:12])[O:6]1
1040,[O:24]=[S:23](=[O:25])([N:26]([CH3:27])[CH3:28])[C:19]1=[CH:18][CH:17]=[C:16]2[C:21]([CH2:22][N:13]([CH2:14][CH2:15]2)[C:11]=3[CH:10]=[CH:9][N:8]=[C:7]([N:12]=3)[CH:2]([CH3:1])[O:3][C:4](=[O:6])[CH3:5])=[CH:20]1>>[O:24]=[S:23](=[O:25])([N:26]([CH3:27])[CH3:28])[C:19]1=[CH:18][CH:17]=[C:16]2[C:21](=[CH:20]1)[CH2:22][N:13]([C:11]=3[CH:10]=[CH:9][N:8]=[C:7]([CH:2]([CH3:1])[OH:3])[N:12]=3)[CH2:14][CH2:15]2
1041,[CH3:36][C:35]([CH3:37])([CH3:38])[O:34][C:32]([C:31]1=[C:11]([CH:10]=[CH:9][C:6]([O:7][CH3:8])=[C:5]1[O:4][CH2:3][O:2][CH3:1])[CH2:12][O:13][C:14]=2[CH:19]=[CH:18][C:17]([C:20]3=[CH:21][CH:22]=[C:23]([CH:29]=[CH:30]3)[CH2:24][C:25]([O:27][CH3:28])=[O:26])=[CH:16][CH:15]=2)=[O:33]>>[CH3:36][C:35]([CH3:37])([CH3:38])[O:34][C:32]([C:31]=1[C:5](=[C:6]([O:7][CH3:8])[CH:9]=[CH:10][C:11]=1[CH2:12][O:13][C:14]=2[CH:15]=[CH:16][C:17]([C:20]3=[CH:30][CH:29]=[C:23]([CH:22]=[CH:21]3)[CH2:24][C:25]([O:27][CH3:28])=[O:26])=[CH:18][CH:19]=2)[OH:4])=[O:33]
1042,[CH2:5]1[CH:6]2[N:11]([CH2:10][CH2:9][NH:8][CH2:7]2)[C:2]([CH2:3][O:4]1)=[O:1]>>[CH2:2]1[CH2:3][O:4][CH2:5][CH:6]2[CH2:7][NH:8][CH2:9][CH2:10][N:11]12
1043,[CH:30]=1[CH:31]=[CH:32][CH:33]=[CH:34][C:29]=1[CH:28]([C:35]2=[CH:36][CH:37]=[CH:38][CH:39]=[CH:40]2)[O:27][CH:24]3[CH2:25][CH2:26][N:21]([CH2:22][CH2:23]3)[CH2:20][CH2:19][NH:18][C:16]([CH:15]=[CH:14][CH:13]=[CH:12][C:11]=4[CH:41]=[C:42]([C:8](=[CH:9][CH:10]=4)[O:7][CH2:6][O:5][CH2:4][CH2:3][O:2][CH3:1])[O:43][CH3:44])=[O:17]>>[CH:34]=1[CH:33]=[CH:32][CH:31]=[CH:30][C:29]=1[CH:28]([C:35]2=[CH:40][CH:39]=[CH:38][CH:37]=[CH:36]2)[O:27][CH:24]3[CH2:25][CH2:26][N:21]([CH2:22][CH2:23]3)[CH2:20][CH2:19][NH:18][C:16](=[O:17])[CH:15]=[CH:14][CH:13]=[CH:12][C:11]=4[CH:10]=[CH:9][C:8]([OH:7])=[C:42]([CH:41]=4)[O:43][CH3:44]
1044,[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7]([N:9]1[CH:10]([CH2:19][O:20][C:21]1([CH3:22])[CH3:23])[CH2:11][CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][O:17][CH2:18]2)=[O:8].[OH2:1]>>[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7]([NH:9][CH:10]([CH2:11][CH:12]1[CH2:18][O:17][CH2:16][CH2:15][CH2:14][CH2:13]1)[CH2:19][OH:20])=[O:8]
1045,[CH2:1]1[CH2:5][O:4][NH:3][CH2:2]1.[F:21][C:20]([F:22])([F:23])[C:17]=1[CH:18]=[CH:19][C:14](=[CH:15][CH:16]=1)[O:13][C:12]2=[CH:11][CH:10]=[C:9]([O:8][CH:7]([C:26](=[O:28])[Cl:27])[CH3:6])[CH:25]=[CH:24]2>>[F:21][C:20]([F:22])([F:23])[C:17]=1[CH:16]=[CH:15][C:14](=[CH:19][CH:18]=1)[O:13][C:12]=2[CH:11]=[CH:10][C:9]([O:8][CH:7]([CH3:6])[C:26](=[O:28])[N:3]3[O:4][CH2:5][CH2:1][CH2:2]3)=[CH:25][CH:24]=2
1046,[C:5]1(=[CH:6][C:7]([F:8])=[CH:9][CH:10]=[C:11]1[C:12]#[N:13])[C:3]([O:2][CH3:1])=[O:4].[CH3:16][NH:15][CH3:14]>>[CH3:14][N:15]([CH3:16])[C:7]=1[CH:6]=[C:5]([C:11](=[CH:10][CH:9]=1)[C:12]#[N:13])[C:3](=[O:4])[O:2][CH3:1]
1047,[CH2:5]1[CH2:6][NH:7][CH2:8][CH2:9][CH:4]1[CH2:3][CH2:2][OH:1].[CH:16]=1[CH:17]=[C:18]([C:19]#[N:20])[C:21]=2[O:22][C:11](=[CH:12][C:13]=2[C:14]=1[F:15])[CH3:10]>>[CH2:6]1[CH2:5][CH:4]([CH2:9][CH2:8][N:7]1[C:14]2=[CH:16][CH:17]=[C:18]([C:21]=3[O:22][C:11]([CH3:10])=[CH:12][C:13]2=3)[C:19]#[N:20])[CH2:3][CH2:2][OH:1]
1048,[CH2:3]([CH2:2][NH2:1])[OH:4].[CH3:5][C:6]([CH3:8])([CH3:7])[CH2:9][C:10]=1[N:18]([CH2:19][CH:20]2[CH2:21][CH2:22]2)[C:17]=3[C:12](=[CH:13][C:14]([S:23](=[O:24])(=[O:25])[C:26]([CH3:27])([CH3:28])[C:29]([Cl:30])=[O:31])=[CH:15][CH:16]=3)[N:11]=1>>[CH3:5][C:6]([CH3:8])([CH3:7])[CH2:9][C:10]=1[N:18]([CH2:19][CH:20]2[CH2:21][CH2:22]2)[C:17]3=[CH:16][CH:15]=[C:14]([CH:13]=[C:12]3[N:11]=1)[S:23](=[O:24])(=[O:25])[C:26]([CH3:27])([CH3:28])[C:29](=[O:31])[NH:1][CH2:2][CH2:3][OH:4]
1049,[CH2:29]([CH3:28])[N:30]([CH2:31][CH3:32])[CH2:33][CH2:34][CH2:35][Cl:36].[O:9]=[S:8](=[O:10])([C:11]=1[C:27]2=[C:22]([CH:23]=[CH:24][CH:25]=[CH:26]2)[O:21][C:12]=1[CH2:13][C:14]3=[CH:15][CH:16]=[C:17]([Cl:18])[CH:19]=[CH:20]3)[C:5]=4[CH:6]=[CH:7][C:2](=[CH:3][CH:4]=4)[OH:1]>>[CH2:29]([CH3:28])[N:30]([CH2:31][CH3:32])[CH2:33][CH2:34][CH2:35][O:1][C:2]1=[CH:7][CH:6]=[C:5]([CH:4]=[CH:3]1)[S:8](=[O:9])(=[O:10])[C:11]2=[C:12]([O:21][C:22]=3[CH:23]=[CH:24][CH:25]=[CH:26][C:27]2=3)[CH2:13][C:14]4=[CH:20][CH:19]=[C:17]([Cl:18])[CH:16]=[CH:15]4
1050,[C:17]1(=[N:16][C:14]([NH2:15])=[N:13][CH:12]=[C:11]1[CH2:10][C:9]=2[CH:8]=[C:6]([C:5]=3[CH:4]=[CH:3][N:2]([CH3:1])[C:20]=3[CH:19]=2)[OH:7])[NH2:18].[CH3:21][CH:22]([CH3:23])[CH2:24][S:25](=[O:27])(=[O:28])[Cl:26]>>[CH3:21][CH:22]([CH3:23])[CH2:24][S:25](=[O:27])(=[O:28])[O:7][C:6]=1[CH:8]=[C:9]([CH:19]=[C:20]2[C:5]=1[CH:4]=[CH:3][N:2]2[CH3:1])[CH2:10][C:11]3=[CH:12][N:13]=[C:14]([N:16]=[C:17]3[NH2:18])[NH2:15]
1051,[C:34]([Cl:35])(=[O:36])[C:33]=1[CH:32]=[CH:31][C:29]([Cl:30])=[CH:28][C:27]=1[O:26][CH3:25].[CH:16]1=[C:17]2[C:12]([CH2:11][N:10]([C:24]=3[C:19](=[CH:20][CH:21]=[CH:22][CH:23]=3)[CH2:18]2)[C:8](=[O:9])[C:5]=4[CH:6]=[CH:7][C:2](=[CH:3][CH:4]=4)[NH2:1])=[CH:13][CH:14]=[CH:15]1>>[CH:16]1=[C:17]2[C:12]([CH2:11][N:10]([C:24]=3[C:19](=[CH:20][CH:21]=[CH:22][CH:23]=3)[CH2:18]2)[C:8]([C:5]=4[CH:4]=[CH:3][C:2]([NH:1][C:34]([C:33]=5[C:27]([O:26][CH3:25])=[CH:28][C:29](=[CH:31][CH:32]=5)[Cl:30])=[O:36])=[CH:7][CH:6]=4)=[O:9])=[CH:13][CH:14]=[CH:15]1
1052,[C:19]=1([N:22]=[CH:23][C:16]([CH3:15])=[CH:17][CH:18]=1)[CH2:20][Cl:21].[O:7]1[C:6]=2[CH:5]=[C:4]3[NH:3][C:2](=[S:1])[NH:14][C:13]3=[CH:12][C:11]=2[CH2:10][O:9][CH2:8]1>>[CH2:8]1[O:9][CH2:10][C:11]2=[CH:12][C:13]=3[N:14]=[C:2]([S:1][CH2:20][C:19]=4[N:22]=[CH:23][C:16]([CH3:15])=[CH:17][CH:18]=4)[NH:3][C:4]=3[CH:5]=[C:6]2[O:7]1
1053,[Cl:1][C:2]([Cl:3])=[O:4].[NH2:11][NH:10][C:8](=[O:9])[O:7][CH2:6][CH3:5]>>[C:2](=[O:4])([Cl:1])[NH:11][NH:10][C:8]([O:7][CH2:6][CH3:5])=[O:9]
